Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,139000.000000,140000.000000,136000.000000,138500.000000,117322.187500,1394398
2019-04-25,138500.000000,139000.000000,136500.000000,138000.000000,116898.648438,598551
2019-04-26,138000.000000,138500.000000,134500.000000,135500.000000,114780.914063,657701
2019-04-29,136500.000000,139500.000000,136500.000000,139000.000000,117745.726563,758885
2019-04-30,139500.000000,140500.000000,138000.000000,138500.000000,117322.187500,623895
2019-05-02,138000.000000,140500.000000,137000.000000,138500.000000,117322.187500,430420
2019-05-03,137500.000000,138500.000000,136500.000000,137500.000000,116475.109375,430867
2019-05-07,134500.000000,137000.000000,134000.000000,136000.000000,115204.460938,545860
2019-05-08,134500.000000,136000.000000,134000.000000,135500.000000,114780.914063,424168
2019-05-09,135000.000000,135500.000000,131000.000000,131000.000000,110969.000000,810123
2019-05-10,131500.000000,134000.000000,128000.000000,130000.000000,110121.914063,544413
2019-05-13,128000.000000,131000.000000,128000.000000,129000.000000,109274.828125,384073
2019-05-14,128500.000000,129500.000000,127000.000000,128000.000000,108427.718750,442314
2019-05-15,127500.000000,130000.000000,125500.000000,128000.000000,108427.718750,494972
2019-05-16,133000.000000,135000.000000,127000.000000,127500.000000,108004.171875,1005933
2019-05-17,127000.000000,128500.000000,125000.000000,125500.000000,106310.000000,298037
2019-05-20,125500.000000,129500.000000,125500.000000,129000.000000,109274.828125,825485
2019-05-21,129000.000000,129500.000000,125000.000000,127000.000000,107580.632813,733503
2019-05-22,127000.000000,129000.000000,126000.000000,127000.000000,107580.632813,381004
2019-05-23,129000.000000,129500.000000,126500.000000,127500.000000,108004.171875,637184
2019-05-24,127000.000000,130500.000000,126000.000000,130500.000000,110545.453125,649719
2019-05-27,130000.000000,135500.000000,130000.000000,135000.000000,114357.367188,716578
2019-05-28,135000.000000,136500.000000,133000.000000,136500.000000,115628.000000,1209912
2019-05-29,135000.000000,135500.000000,131500.000000,134000.000000,113510.281250,637263
2019-05-30,132500.000000,136500.000000,132500.000000,135500.000000,114780.914063,495640
2019-05-31,134500.000000,135000.000000,131000.000000,134500.000000,113933.828125,925504
2019-06-03,134000.000000,138500.000000,132500.000000,138500.000000,117322.187500,651551
2019-06-04,137000.000000,140500.000000,137000.000000,139000.000000,117745.726563,585901
2019-06-05,139500.000000,142000.000000,139000.000000,141000.000000,119439.906250,608171
2019-06-07,141500.000000,142000.000000,139500.000000,140000.000000,118592.828125,492290
2019-06-10,142000.000000,143000.000000,140000.000000,143000.000000,121134.101563,468996
2019-06-11,142500.000000,143500.000000,140500.000000,143500.000000,121557.640625,362392
2019-06-12,143500.000000,143500.000000,139500.000000,141000.000000,119439.906250,535905
2019-06-13,140500.000000,141500.000000,137500.000000,141000.000000,119439.906250,946951
2019-06-14,140000.000000,142500.000000,139500.000000,140500.000000,119016.359375,339897
2019-06-17,140000.000000,141500.000000,139500.000000,140000.000000,118592.828125,228663
2019-06-18,140500.000000,141500.000000,139500.000000,141000.000000,119439.906250,222606
2019-06-19,140500.000000,141000.000000,139000.000000,140000.000000,118592.828125,303777
2019-06-20,139500.000000,141000.000000,139000.000000,140500.000000,119016.359375,259704
2019-06-21,140000.000000,141000.000000,139500.000000,140500.000000,119016.359375,291573
2019-06-24,142000.000000,143500.000000,141500.000000,142500.000000,120710.554688,287939
2019-06-25,142500.000000,142500.000000,140500.000000,141500.000000,119863.453125,294735
2019-06-26,141000.000000,142000.000000,140000.000000,141500.000000,119863.453125,239375
2019-06-27,141000.000000,142500.000000,139500.000000,140500.000000,119863.445313,343337
2019-06-28,140000.000000,141000.000000,139000.000000,140000.000000,119436.898438,274397
2019-07-01,141500.000000,142500.000000,139500.000000,141000.000000,120290.015625,328363
2019-07-02,139500.000000,140000.000000,136500.000000,137000.000000,116877.546875,444895
2019-07-03,136000.000000,138000.000000,134000.000000,136000.000000,116024.414063,582636
2019-07-04,135500.000000,139500.000000,135000.000000,139000.000000,118583.781250,305720
2019-07-05,139000.000000,142000.000000,138500.000000,141500.000000,120716.578125,338177
2019-07-08,140500.000000,142000.000000,138000.000000,138500.000000,118157.226563,339244
2019-07-09,139500.000000,141500.000000,137000.000000,137500.000000,117304.109375,435577
2019-07-10,139000.000000,140000.000000,135500.000000,137000.000000,116877.546875,567104
2019-07-11,136500.000000,140500.000000,135000.000000,139000.000000,118583.781250,1070266
2019-07-12,138500.000000,142000.000000,138000.000000,139500.000000,119010.343750,549266
2019-07-15,139500.000000,140000.000000,137000.000000,138000.000000,117730.671875,280032
2019-07-16,139000.000000,139000.000000,132000.000000,133000.000000,113465.062500,902923
2019-07-17,133000.000000,134500.000000,132000.000000,133500.000000,113891.625000,375651
2019-07-18,133000.000000,134500.000000,132500.000000,134000.000000,114318.179688,355896
2019-07-19,135500.000000,135500.000000,132000.000000,134500.000000,114744.742188,363374
2019-07-22,134000.000000,135500.000000,132000.000000,133000.000000,113465.062500,608574
2019-07-23,133500.000000,133500.000000,128500.000000,132000.000000,112611.921875,1128639
2019-07-24,131500.000000,133500.000000,131500.000000,132500.000000,113038.492188,419148
